#timestamp package-00 dram0 
1766962623.194536188 0 0 
1766962623.200054885 237975 42687 
1766962623.300100616 4497486 769192 
1766962623.400104627 4347645 756524 
1766962623.500102113 4295339 763593 
1766962623.600099835 4184559 762047 
1766962623.700101974 4235768 756141 
1766962623.800101250 4168202 761818 
1766962623.900100248 4238088 765382 
1766962624.000107419 4143605 758314 
1766962624.100105969 4171437 763669 
1766962624.200101600 4116933 754642 
1766962624.300101940 4109486 761772 
1766962624.400100306 4113515 762047 
1766962624.500099108 4086110 754993 
1766962624.600099032 4114980 763929 
1766962624.700101230 4108083 767387 
1766962624.800104853 4108082 756784 
1766962624.900102539 4127858 763730 
1766962625.000104752 4107595 764970 
1766962625.100101389 4084157 758880 
1766962625.200101525 4162282 768932 
1766962625.300105811 4157582 763745 
1766962625.400103211 4122182 757289 
1766962625.500100959 4242237 768289 
1766962625.600103217 4224660 766102 
1766962625.700100129 4165883 756157 
1766962625.800120361 4247120 764724 
1766962625.900099038 4240163 761772 
1766962626.000100564 4319508 766377 
1766962626.100101852 4095082 766530 
1766962626.200101059 4051015 756524 
1766962626.300100746 4098378 764327 
1766962626.400101251 4116384 765000 
1766962626.500097522 4057179 755422 
1766962626.600102279 4108022 765122 
1766962626.700101391 4046804 755468 
1766962626.800100250 4088185 765750 
1766962626.900100901 4106923 764923 
1766962627.000101973 4130788 763884 
1766962627.100101489 4051869 758038 
1766962627.200102470 4101491 764067 
1766962627.300099878 4090322 762689 
1766962627.400100515 4041982 750741 
1766962627.500099672 4085072 762506 
1766962627.600107838 4124501 757075 
1766962627.700101296 4123952 765719 
1766962627.800099537 4085012 765015 
1766962627.900101242 4083485 758956 
1766962628.000104125 4099966 766714 
1766962628.100100107 4083241 766346 
1766962628.200099199 4044484 755239 
1766962628.300099775 4076650 765107 
1766962628.400113720 4297474 779566 
1766962628.500100805 4707813 785502 
1766962628.600099354 4159535 769467 
1766962628.700102690 4072439 758651 
1766962628.800101204 4089100 763087 
1766962628.900100952 4077993 761573 
1766962629.000100931 4105214 757733 
1766962629.100111917 4048757 749593 
1766962629.200102035 4122792 758222 
1766962629.300102407 4092763 755070 
1766962629.400099817 4055226 748170 
1766962629.500098939 4070913 759140 
1766962629.600113157 4071523 754137 
1766962629.700102668 4050404 746150 
1766962629.800102056 4081167 753495 
1766962629.900101219 4038319 744590 
1766962630.000101487 4084035 754550 
1766962630.100102595 4072744 757901 
1766962630.200101968 4075001 758497 
1766962630.300101833 4040456 750679 
1766962630.400101943 4102529 758819 
1766962630.500102919 4030080 749042 
1766962630.600099256 4076039 756019 
1766962630.700100801 4085439 758069 
1766962630.800098659 4050954 751796 
1766962630.900100678 4090993 760074 
1766962631.000102173 4117238 756998 
1766962631.100100748 4038686 749118 
1766962631.200101275 4083791 754581 
1766962631.300098772 4098378 756524 
1766962631.400099350 4055410 750664 
1766962631.500101231 4109486 757717 
1766962631.600100377 4109487 758513 
1766962631.700101577 4039235 751352 
1766962631.800101528 4080190 756646 
1766962631.900100014 4081837 755132 
1766962632.000100464 4054616 751062 
1766962632.100103476 4079153 755973 
1766962632.200075573 4125844 756187 
1766962632.300101603 4052663 749990 
1766962632.400100752 4089650 757488 
1766962632.500101974 4080678 761022 
1766962632.600101600 4049489 754550 
1766962632.700099307 4082631 763730 
1766962632.800101043 4108876 763363 
1766962632.900100115 4039113 755009 
1766962633.000102169 4086599 763639 
1766962633.100101317 4079213 760838 
1766962633.200101373 4033742 752714 
1766962633.300101378 4099782 763149 
1766962633.400101626 4042165 756218 
1766962633.500107084 4091664 761894 
1766962633.600100456 3949026 748323 
1766962633.700100832 4135915 766989 
1766962633.800102889 4047169 757319 
1766962633.900101249 4079275 763776 
1766962634.000099219 4096791 760425 
1766962634.100099822 4050099 753296 
1766962634.200101419 4077932 760471 
1766962634.300101561 4097096 762766 
1766962634.400100619 4070730 754321 
1766962634.500099615 4103993 763256 
1766962634.600100036 4148793 762705 
1766962634.700118889 4035207 752010 
1766962634.800101128 4085500 757947 
1766962634.900101633 4096608 759691 
